state_code,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Arizona,1966,-3.61,-2.89,2.0,5.78,10.94,14.44,18.94,18.44,14.83,7.33,3.0,-1.89
Arizona,1967,-3.5,-1.0,3.0,3.11,8.67,13.44,19.33,18.0,14.72,8.0,3.56,-3.89
Arizona,1968,-3.11,2.72,2.72,4.67,9.22,14.44,18.0,15.89,12.94,7.67,2.17,-4.28
Arizona,1969,1.0,-0.72,-0.17,5.22,10.39,13.56,19.22,19.67,15.17,6.5,2.72,-0.28
Arizona,1970,-2.67,1.06,1.39,2.44,9.83,14.56,19.39,18.89,12.83,5.72,1.89,-1.67
Arizona,1971,-3.33,-1.33,1.22,4.22,7.72,13.94,19.28,18.11,13.5,6.28,1.28,-2.5
Arizona,1972,-3.11,-0.72,4.56,5.22,9.11,15.06,19.11,17.39,13.83,9.39,0.56,-2.78
Arizona,1973,-3.33,0.56,0.89,3.89,10.17,14.44,18.0,17.33,12.33,6.89,1.72,-2.0
Arizona,1974,-2.0,-2.61,3.39,4.39,10.11,16.33,18.28,16.5,14.44,9.5,2.06,-3.39
Arizona,1975,-3.06,-1.61,1.11,2.39,7.67,13.11,18.61,16.78,14.39,6.72,0.61,-1.5
Arizona,1976,-2.56,1.67,0.94,4.39,10.56,13.78,18.5,16.44,13.89,7.0,1.67,-3.11
Arizona,1977,-2.06,-0.72,-0.28,5.67,8.0,15.39,19.22,18.78,15.11,9.67,2.94,1.06
Arizona,1978,0.5,0.94,4.83,5.33,8.83,15.0,18.39,17.0,14.0,10.0,3.56,-3.0
Arizona,1979,-2.72,-1.61,1.89,4.83,9.83,14.33,17.61,15.94,15.17,8.56,0.28,-1.17
Arizona,1980,1.33,2.22,2.0,5.06,8.11,13.89,19.06,17.61,13.94,7.39,1.78,0.72
Arizona,1981,0.72,0.33,2.5,7.44,10.39,17.06,19.67,18.5,14.94,7.61,3.06,-0.33
Arizona,1982,-1.5,1.0,2.89,5.56,9.5,12.89,17.94,18.78,14.89,5.78,2.89,-1.06
Arizona,1983,-1.0,1.0,3.22,3.28,8.72,13.17,18.33,17.94,16.44,9.5,2.72,0.61
Arizona,1984,-1.33,-1.89,1.89,4.56,12.11,14.89,18.83,17.94,15.44,6.72,1.72,-0.17
Arizona,1985,-1.28,-1.28,2.61,7.0,10.67,15.44,19.06,17.78,11.94,8.61,2.11,-1.33
Arizona,1986,0.44,1.83,4.67,6.56,10.17,16.0,17.78,19.06,12.39,7.06,3.0,-0.72
Arizona,1987,-2.72,0.22,1.17,7.17,10.39,15.39,16.72,17.5,13.5,10.33,2.22,-2.61
Arizona,1988,-2.0,0.83,1.5,5.83,9.56,15.83,19.28,18.17,12.78,10.72,2.39,-2.22
Arizona,1989,-2.89,0.22,4.33,8.39,10.72,14.89,19.33,17.44,14.22,8.0,2.22,-2.5
