state_code,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Maryland,2008,7.0,8.44,13.17,19.11,22.17,29.78,30.44,28.67,26.0,19.17,11.56,8.78
Maryland,2013,7.06,5.89,9.06,18.78,23.06,28.0,30.28,27.56,25.22,20.0,11.67,8.5
Maryland,2018,4.89,10.44,9.0,16.33,26.28,27.5,30.11,30.11,26.56,20.0,10.67,8.61
Maryland,2023,10.17,11.89,13.17,21.39,22.56,26.83,31.11,29.28,26.22,21.5,,
Massachusetts,1978,-0.33,-1.06,5.11,11.94,19.5,24.83,26.67,25.61,20.83,15.44,9.5,3.44
Massachusetts,1983,1.5,3.33,7.22,12.83,17.78,26.0,28.67,27.0,24.72,15.78,10.22,2.17
Massachusetts,1988,0.11,2.78,7.78,12.0,19.5,24.83,27.94,27.78,21.89,13.5,10.78,2.94
Massachusetts,1993,2.11,-0.56,5.28,13.33,21.06,24.94,28.17,27.33,21.17,14.78,10.33,3.11
Massachusetts,1998,3.56,5.61,8.44,14.72,21.72,22.83,27.28,27.22,23.67,16.06,9.56,7.28
Massachusetts,2003,-2.33,-0.11,7.94,11.67,17.94,23.0,27.44,27.11,22.44,15.0,10.94,4.5
Massachusetts,2008,3.06,2.89,6.67,15.67,18.78,25.5,28.0,25.33,22.33,15.67,9.0,4.67
Massachusetts,2013,2.39,2.22,6.22,14.22,21.17,25.22,29.0,26.06,22.39,17.17,9.28,3.11
Massachusetts,2018,0.89,6.56,6.0,11.22,22.56,24.33,29.06,28.17,23.11,15.0,7.28,4.61
Massachusetts,2023,5.61,5.72,8.17,16.11,20.78,23.61,28.56,25.56,23.11,18.78,,
Michigan,1978,-5.06,-4.67,2.06,10.33,20.0,23.89,25.67,25.78,22.0,13.44,6.72,-1.61
Michigan,1983,-1.5,1.17,5.17,9.39,15.78,24.78,29.06,27.39,21.94,14.06,6.67,-5.22
Michigan,1988,-3.17,-2.94,4.39,12.56,22.17,27.17,29.56,27.17,20.83,10.56,6.5,-0.22
